cluster,token_stem,count_per_doc,count_of_docs,tfidf
1,california,15,4,0.036892374562939756
1,call,3,3,0.01689098352816453
1,campaign,1,2,0.010099370469446286
1,can,9,5,0.0
1,canada,3,1,0.05321774790408976
1,cancel,1,3,0.00563032784272151
1,capabl,2,1,0.035478498602726505
1,capac,2,1,0.035478498602726505
1,capit,2,1,0.035478498602726505
1,car,2,1,0.035478498602726505
1,carbon,2,1,0.035478498602726505
1,care,4,4,0.009837966550117268
1,carri,3,1,0.05321774790408976
1,cart,2,2,0.02019874093889257
1,case,3,3,0.01689098352816453
1,categori,3,4,0.007378474912587951
1,celebr,3,1,0.05321774790408976
1,ceo,3,1,0.05321774790408976
1,certain,6,4,0.014756949825175902
1,certif,6,4,0.014756949825175902
1,certifi,6,4,0.014756949825175902
1,chain,17,4,0.041811357837998386
1,chair,1,2,0.010099370469446286
1,chairman,2,1,0.035478498602726505
1,challeng,3,1,0.05321774790408976
1,chang,3,2,0.030298111408338855
1,channel,2,3,0.01126065568544302
1,characterist,1,3,0.00563032784272151
1,charter,3,1,0.05321774790408976
1,chat,1,2,0.010099370469446286
1,chemic,1,3,0.00563032784272151
1,chief,1,3,0.00563032784272151
1,child,6,3,0.03378196705632906
1,children,2,2,0.02019874093889257
1,china,2,1,0.035478498602726505
1,choic,4,1,0.07095699720545301
1,choos,4,3,0.02252131137088604
1,chosen,2,2,0.02019874093889257
1,citi,3,2,0.030298111408338855
1,citizen,3,3,0.01689098352816453
1,civil,2,3,0.01126065568544302
1,claim,2,1,0.035478498602726505
1,class,2,3,0.01126065568544302
1,clean,2,5,0.0
1,cleaner,1,2,0.010099370469446286
1,clear,4,3,0.02252131137088604
1,clearli,2,2,0.02019874093889257
1,click,1,4,0.002459491637529317
1,climat,3,1,0.05321774790408976
1,close,3,2,0.030298111408338855
1,co,1,2,0.010099370469446286
1,coalit,1,2,0.010099370469446286
1,code,11,4,0.027054408012822485
1,coercion,3,3,0.01689098352816453
1,collabor,3,1,0.05321774790408976
1,collect,4,3,0.02252131137088604
1,color,1,2,0.010099370469446286
1,combat,1,3,0.00563032784272151
1,combin,4,1,0.07095699720545301
1,comment,2,1,0.035478498602726505
1,commerci,5,1,0.08869624650681626
1,commiss,1,2,0.010099370469446286
1,commit,18,5,0.0
1,committe,3,1,0.05321774790408976
1,commun,12,5,0.0
1,compact,4,2,0.04039748187778514
1,compani,18,5,0.0
1,compar,1,2,0.010099370469446286
1,compat,2,2,0.02019874093889257
1,compens,2,3,0.01126065568544302
1,competit,5,2,0.050496852347231426
1,complement,2,1,0.035478498602726505
1,complet,7,3,0.03941229489905057
1,complex,1,2,0.010099370469446286
1,compli,10,4,0.024594916375293166
